resembles a soft porn brian de palma pastiche,safe conduct however ambitious and well-intentioned fails to hit the entertainment bull's-eye,0
adam sandler's heart may be in the right place but he needs to pull his head out of his butt,unless bob crane is someone of particular interest to you this film's impressive performances and adept direction aren't likely to leave a lasting impression,0
shankman and screenwriter karen janszen bungle their way through the narrative as if it were a series of bible parables and not an actual story,the kids often appear to be reading the lines and are incapable of conveying any emotion,0
the work of an exhausted desiccated talent who can't get out of his own way,the characters are paper thin and the plot is so cliched and contrived that it makes your least favorite james bond movie seem as cleverly plotted as the usual suspects,0
the last 20 minutes are somewhat redeeming but most of the movie is the same teenage american road-trip drek we've seen before - only this time you have to read the fart jokes,however clever nelson has been in providing variation within the confines of her structure and staging the question remains whether this should indeed have been presented as a theatrical release,0
a puzzle whose pieces do not fit some are fascinating and others are not and in the end it is almost a good movie,a puzzle whose pieces do not fit some are fascinating and others are not and in the end it is almost a good movie,1
interesting but not compelling,interesting but not compelling,1
one thing is for sure : this movie does not tell you a whole lot about lily chou-chou,life or something like it has its share of high points but it misses too many opportunities,0
shot perhaps 'artistically' with handheld cameras and apparently no movie lights by joaquin baca-asay the low-budget production swings annoyingly between vertigo and opacity,shot perhaps 'artistically' with handheld cameras and apparently no movie lights by joaquin baca-asay the low-budget production swings annoyingly between vertigo and opacity,1
this is the first full scale wwii flick from hong kong's john woo he's not good with people,this is the first full scale wwii flick from hong kong's john woo he's not good with people,1
comes off like a bad imitation of the bard,comes off like a bad imitation of the bard,1
